charity_number,name,grant_page_url,similarity
CC44636,"Alison and Andrew Cochrane Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.59
CC25522,"Beatrice and Arthur Wade Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.60
CC21956,"Bert and May Wilson Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.59
CC39355,"C.M Laing Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.75
CC26769,"Doris May Chapman Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.68
CC45799,"Dorothy Williams Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.63
CC38491,"Graeme Eskrigge Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.68
CC47767,"H and K Reynolds Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.63
CC38569,"Iris and Eric Wilfred Nankivell Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.51
CC51062,"James & Jean Hartstonge Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.64
CC58548,"Jean Marjorie Gott Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.64
CC20667,"Joan Moya Campbell Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.61
CC46661,"Joyce And Laurence Olliver Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.55
CC50321,"Kathleen Whyte Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.68
CC47106,"Le Heron Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.79
CC49233,"M J Smeaton Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.70
CC21874,"Madeleine Joyce Adams Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.61
CC50463,"Mae and Betty Sherratt Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.58
CC51672,"Marg-Rose Linder Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.67
CC38370,"Nathan Chester Clark Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.65
CC51839,"Neil James Phillips Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.61
CC38178,"Nova Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.83
CC37438,"Paekakariki Services Club Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.57
CC46832,"Pauline Gapper Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.67
CC50768,"Raymond Archer Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.68
CC44797,"Roger Silson Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.68
CC51587,"Roy and Marie Sainsbury Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.59
CC49892,"Shirley Estelle Owen Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.63
CC46175,"Terry Cummings Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.67
CC51072,"The Allan Silas Jenkins Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.58
CC31196,"The Arthur Hopwood Charitable Trust Fund",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.58
CC53113,"The Beatrice Ratcliffe Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.63
CC47058,"The Carson Charitable Trust No 1",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.68
CC47057,"The Carson Charitable Trust No 2",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.68
CC47056,"The Carson Charitable Trust No 3",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.68
CC43947,"The Charles and Vera Thrush Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.61
CC45325,"The Douglas and Audrey Symons Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.52
CC50238,"The Ernest and Josephine Earnshaw Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.53
CC22587,"The Esther Watson Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.71
CC45873,"The Florence & George Chamberlain Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.54
CC43978,"The Frizelle Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.75
CC21776,"The George and Noela Waddel Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.55
CC24606,"The Glyn Evans Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.67
CC41333,"The Goodwill Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.70
CC23602,"The Helen Spooner Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.65
CC27504,"The Hilda Curtis Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.65
CC50981,"The Hugh Hunter Berg Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.63
CC10502,"The Irene and Stanley Sawtell Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.56
CC11423,"The Ivan & Nancye Davis Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.59
CC45320,"The Jessie Hill Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.67
CC43030,"The Kynaston (Joan Pierard) Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.57
CC44654,"The Margaret Ann Tibbles Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.60
CC33963,"The Monk Family Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.65
CC25988,"The Oswald McKenzie Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.61
CC50393,"The Owen & John Whitfield Charitable Trust No 1",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.52
CC39086,"The Owen & John Whitfield Charitable Trust No 2",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.52
CC43972,"The Oyster Boat Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.67
CC22021,"The Pukerua Bay Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.67
CC22296,"The Reed Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.77
CC24177,"The Thomas Cavell Connelly Nichol Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.55
CC20786,"The Wellington Sisters Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.58
CC21746,"Zelda Roberts Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.71
CC38009,"Edward Moritz Theomin Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.61